stockCode,stockNameEn,stockNameZh
00232,AVIC INT'L,中國航空工業國際
00233,MY MEDICARE,銘源醫療
00234,NEW CENTURY GP,新世紀集團
00235,CHINA STRATEGIC,中策集團
00236,SAN MIGUEL HK,香港生力啤
00237,SAFETY GODOWN,安全貨倉
00238,EVERGREEN INT,長興國際
00239,PAK FAH YEOW,白花油
00240,BUILD KING HOLD,利基控股
00241,ALI HEALTH,阿里健康
00242,SHUN TAK HOLD,信德集團
00243,QPL INT'L,QPL INT'L
00244,SINCERE,先施
00245,CN MINSHENG FIN,中國民生金融
00246,REALGOLD MINING,瑞金礦業
00247,TST PROPERTIES,TST PROPERTIES
00248,HKC INT'L HOLD,香港通訊國際控股
00250,SINO-I TECH,中國數碼信息
00251,SEA HOLDINGS,爪哇控股
00252,SE ASIA PPT,華信地產財務
00253,SHUNHO HOLDINGS,順豪控股
00254,NUR HOLDINGS,國家聯合資源
00255,LUNG KEE,龍記集團
00256,CITYCHAMP,冠城鐘錶珠寶
00257,CHINA EB INT'L,中國光大國際
00258,TOMSON GROUP,湯臣集團
00259,YEEBO (INT'L H),億都（國際控股）
00260,AVIC JOY HLDG,幸福控股
00261,CCT LAND,中建置地
00262,DESON DEV INT'L,迪臣發展國際
00263,GT GROUP HLDG,高富集團控股
00264,ASCENT INT'L,中璽國際
00265,ORIENT VICTORY,東勝中國
00266,TIAN TECK LAND,天德地產
00267,CITIC,中信股份
00268,KINGDEE INT'L,金蝶國際
00269,CRTG,中國資源交通
00270,GUANGDONG INV,粵海投資
00271,DAN FORM HOLD,丹楓控股
00272,SHUI ON LAND,瑞安房地產
00273,MASON FIN,民信金控
00274,C BILLION RES,中富資源
00275,MASTER GLORY GP,凱華集團
00276,MONGOLIA ENERGY,蒙古能源
00277,TERN PROPERTIES,太興置業
00278,WAH HA REALTY,華廈置業
00279,FREEMAN FINTECH,民眾金融科技
00280,KING FOOK HOLD,景福集團
00281,RIVERA (HOLD),川河集團
00282,NEXT DIGITAL,壹傳媒
00283,GOLDIN PPT,高銀地產
00285,BYD ELECTRONIC,比亞迪電子
00286,CS HEALTH,同佳健康
00287,WINFAIR INV,永發置業
00288,WH GROUP,萬洲國際
00289,WING ON CO,WING ON CO
00290,C FORTUNE FIN,中國富強金融
00291,CHINA RES BEER,華潤啤酒
00292,ASIA STD HOTEL,泛海酒店
00293,CATHAY PAC AIR,國泰航空
00294,YANGTZEKIANG,長江製衣
00295,KONG SUN HOLD,江山控股
00296,EMPEROR E HOTEL,英皇娛樂酒店
00297,SINOFERT,中化化肥
00298,CHUANG'S CHINA,莊士中國
00299,NEW SPORTS,新體育
00300,KUNMING MACHINE,昆明機床
00303,VTECH HOLDINGS,VTECH HOLDINGS
00305,WULING MOTORS,五菱汽車
00306,KWOON CHUNG BUS,冠忠巴士集團
00307,UP ENERGY DEV,優派能源發展
00308,CHINA TRAVEL HK,香港中旅
00309,XH NEWS MEDIA,新華通訊頻媒
00311,LUEN THAI,聯泰控股
00312,SHIRBLE STORE,歲寶百貨
00313,RICHLY FIELD,裕田中國
00315,SMARTONE TELE,數碼通電訊
00316,OOIL,東方海外國際
00317,COMEC,中船防務
00318,VONGROUP,黃河實業
00319,CHINA METAL,勤美達國際
00320,COMPUTIME,金寶通
00321,TEXWINCA HOLD,德永佳集團
00322,TINGYI,康師傅控股
00323,MAANSHAN IRON,馬鞍山鋼鐵股份
00326,CHINA STAR ENT,中國星集團
00327,PAX GLOBAL,百富環球
00328,ALCO HOLDINGS,ALCO HOLDINGS
00329,DRAGONITE INT'L,叁龍國際
00330,ESPRIT HOLDINGS,思捷環球
00331,FSE ENGINEERING,豐盛機電
00332,YUANHENG GAS,元亨燃氣
